UNQ_ID,AGE RANGE,GENDER,NCSS_B03A,NCSS_B03B,NCSS_B04,NCSS_B05,EVENT,PARTICIPATION,PART_ROLE,AFFILIATION,Process_E_LS,Process_E_EX,Process_E_CT,Pre_MR1,Post_MR1,X_MR1,Pre_MR2,Post_MR2,X_MR2,Pre_MR3,Post_MR3,X_MR3,Pre_MR4,Post_MR4,X_MR4,Pre_MR5,Post_MR5,X_MR5,Pre_AT_PT1,Pre_AT_PT2,Pre_AT_PT3,Pre_AT_WT5,Pre_AT_CT1,Pre_AT_CT2,Pre_AT_CT3,Pre_AT_CT4,Pre_AT_LA1,Pre_AT_LA2,Pre_AT_LA3,Pre_AT_SC6,Pre_ST_SD1,Pre_ST_SD2,Pre_ST_SD3,Pre_ST_SD4,Pre_NCSS_P2,Pre_AT_WT2,Pre_AT_WT3,Pre_AT_WT4,Pre_AT_LA4,Pre_AT_WT1,Pre_AT_CT5,Pre_AT_LA5,Pre_AT_SC2,Pre_ST_SD5,Pre_ST_SR2,Pre_ST_SR1,Pre_ST_SR3,Pre_ST_SR4,Pre_ST_SR5,Pre_NCSS_P1,Pre_NCSS_P3,Pre_NCSS_P4,Pre_NCSS_P5,Pre_AT_SC1,Pre_AT_SC3,Pre_AT_SC4,Pre_AT_SC5,Post_AT_PT1,Post_AT_PT2,Post_AT_PT3,Post_AT_WT5,Post_AT_CT1,Post_AT_CT2,Post_AT_CT3,Post_AT_CT4,Post_AT_LA1,Post_AT_LA2,Post_AT_LA3,Post_ST_SD1,Post_ST_SD2,Post_ST_SD3,Post_ST_SD4,Post_AT_SC6,Post_NCSS_P2,Post_AT_WT2,Post_AT_WT3,Post_AT_WT4,Post_AT_LA4,Post_AT_WT1,Post_AT_CT5,Post_AT_LA5,Post_AT_SC2,Post_ST_SD5,Post_ST_SR2,Post_ST_SR1,Post_ST_SR3,Post_ST_SR4,Post_ST_SR5,Post_NCSS_P1,Post_NCSS_P3,Post_NCSS_P4,Post_NCSS_P5,Post_AT_SC1,Post_AT_SC3,Post_AT_SC4,Post_AT_SC5
3409D125,18-24 years old,Male,No,Not Applicable,No,8 University Degree,12. What A Wonderful World,4,Volunteer - 64AB,The Achievers,5,5,5,2.8125,4.9375,2.125,3,3.6,0.6,2.2,5,2.8,3,2.5,-0.5,3,2.5,-0.5,3,3,3,3,2,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,2,3,5,3,5,5,5,5,5,5,5,5,5,5,5,3,2,3,2,1,3,3,3
C74FA6AE,18-24 years old,Female,No,Not Applicable,No,8 University Degree,12. What A Wonderful World,5,Volunteer - 62AB,The Achievers,5,5,5,1.3125,3.4375,2.125,2.8,2.6,-0.2,1.2,3.7,2.5,1.25,2,0.75,2.5,3.25,0.75,1,1,1,2,1,1,1,1,1,3,2,2,1,1,1,1,2,4,3,4,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,2,3,2,3,4,3,3,3,4,4,4,5,1,4,3,4,4,3,2,4,1,2,3,3,4,4,4,3,5,3,3,3,4,4,4,3,1,2,2,3,2,4,4
A409D8DB,18-24 years old,Female,No,Not Applicable,No,8 University Degree,12. What A Wonderful World,5,Volunteer - 62AB,The Achievers,5,5,5,2.3125,4,1.6875,2,3.2,1.2,2,4.6,2.6,2.75,2.75,0,2.25,2.75,0.5,3,2,2,2,2,3,2,1,2,3,4,2,2,2,2,3,2,3,3,1,1,2,2,2,2,3,1,1,1,2,4,4,3,2,2,2,2,2,3,5,5,5,5,3,4,5,1,5,3,5,5,3,5,1,4,2,5,3,1,5,5,5,5,5,3,5,5,5,5,3,4,3,2,2,5,3,2,1
759FF162,18-24 years old,Male,No,Not Applicable,No,8 University Degree,12. What A Wonderful World,4,Volunteer - 62AB,The Achievers,4,4,3,1.6875,3.8125,2.125,2.8,3.4,0.6,1.6,4.8,3.2,2,2,0,2.5,2.75,0.25,1,1,1,1,2,2,1,3,2,3,3,1,1,1,1,3,4,2,3,2,3,2,2,2,2,1,1,1,1,2,2,4,2,1,1,2,2,3,3,4,4,5,4,3,4,4,2,3,2,4,4,5,4,4,5,4,3,3,2,5,5,5,4,5,4,5,5,5,5,5,4,2,1,1,3,2,2,4
7B92D682,18-24 years old,Female,No,Not Applicable,No,8 University Degree,12. What A Wonderful World,4,Volunteer - 64AB,The Achievers,5,5,5,2.125,3.875,1.75,2.8,3,0.2,1.6,4.5,2.9,2,2,0,3.25,4,0.75,1,1,1,3,4,2,2,4,2,4,2,3,1,1,1,2,3,4,1,4,2,2,2,1,3,2,1,1,1,1,2,2,2,2,2,4,3,4,2,3,3,4,4,4,3,5,3,4,3,5,4,4,4,4,5,3,2,3,3,4,4,5,5,4,4,5,5,5,5,3,2,2,2,2,4,4,4,4
E2C9A942,18-24 years old,Male,No,Not Applicable,No,8 University Degree,12. What A Wonderful World,3,Volunteer - 62AB,The Achievers,5,5,5,2.1875,4.0625,1.875,3,3.4,0.4,2,4.8,2.8,1.75,2.25,0.5,3.25,3.25,0,2,2,2,2,3,2,2,4,2,2,3,1,2,2,2,2,3,4,2,4,2,1,3,2,2,2,2,2,2,2,2,2,1,2,2,4,3,3,3,5,4,5,3,3,4,5,4,4,4,4,4,4,4,3,5,4,1,5,3,4,5,5,3,5,5,5,5,5,5,5,2,3,2,2,2,5,3,3
5A300D9E,18-24 years old,Female,No,Not Applicable,No,8 University Degree,12. What A Wonderful World,3,Volunteer - 53A,IMHope,5,5,5,2.75,2.4375,-0.3125,2.8,2,-0.8,2.2,3.9,1.7,3,3,0,2.75,2.5,-0.25,3,3,3,3,2,3,2,5,2,2,3,1,3,3,3,3,2,3,3,3,3,1,2,1,2,3,2,2,3,3,3,2,3,4,3,3,2,3,3,2,4,1,2,4,2,3,1,2,2,2,4,2,4,2,2,2,1,1,1,5,3,5,5,2,4,5,3,3,4,5,2,3,4,3,4,1,1,4
45CD6796,18-24 years old,Male,No,Not Applicable,No,8 University Degree,12. What A Wonderful World,4,Volunteer - 36A,IMHope,5,5,5,2.9375,3.5625,0.625,3,3.4,0.4,3,3.7,0.7,2,3,1,3,2.75,-0.25,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,4,4,3,4,4,4,3,3,3,3,4,4,4,3,4,3,3,4,3,4,3,4,4,2,4,4,4,4,4,4,3,3,3,3,3,3,3,2
D9CC8619,18-24 years old,Female,No,Not Applicable,No,8 University Degree,12. What A Wonderful World,4,Volunteer - 36B,IMHope,5,5,5,2.75,4.625,1.875,2.4,2.4,0,1.4,4.6,3.2,1.5,2,0.5,1.25,3.75,2.5,2,2,2,5,2,2,2,4,4,4,4,1,2,2,2,4,1,5,1,4,1,1,2,1,1,2,1,1,1,1,3,1,1,3,1,2,1,1,1,4,5,5,5,5,5,5,5,5,1,4,5,5,5,5,5,2,5,1,3,1,5,5,2,5,5,5,5,5,5,4,1,2,3,2,3,5,5,2
B5602557,18-24 years old,Female,No,Not Applicable,No,8 University Degree,12. What A Wonderful World,4,Volunteer - 36A,IMHope,5,5,5,2.125,3,0.875,2.6,2.4,-0.2,1.7,3,1.3,2,1.75,-0.25,1.75,3,1.25,2,2,2,2,2,2,2,2,3,3,3,1,2,2,2,2,2,4,1,4,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,1,1,1,3,3,3,3
CC80DA44,18-24 years old,Male,No,Not Applicable,No,8 University Degree,12. What A Wonderful World,5,Volunteer - 53B,IMHope,5,5,5,1.4375,3.625,2.1875,2,2.2,0.2,1.2,3.8,2.6,1,1.25,0.25,1.25,2.5,1.25,1,1,1,1,2,1,1,2,1,4,3,1,1,1,1,1,1,1,2,5,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,4,3,4,4,3,3,3,3,3,3,3,5,5,5,3,4,1,2,3,2,3,3,3,3,3,5,4,5,3,5,4,2,1,1,1,3,3,3,1
DED337F8,18-24 years old,Male,No,Not Applicable,No,8 University Degree,12. What A Wonderful World,2,Volunteer - 53B,IMHope,4,4,3,2.625,3.125,0.5,3.2,3,-0.2,2.1,3.5,1.4,2.5,2.5,0,2.5,2.75,0.25,3,2,4,2,2,2,3,4,4,2,2,4,2,4,1,1,5,4,3,2,2,4,2,3,2,2,3,2,1,1,1,1,3,4,2,2,2,3,3,2,4,3,3,3,3,4,4,3,3,2,3,3,3,3,4,5,2,3,3,2,4,3,4,4,2,4,4,3,4,3,1,3,4,2,2,3,4,2
91249A6D,18-24 years old,Male,No,Not Applicable,No,8 University Degree,12. What A Wonderful World,2,Volunteer - 53B,IMHope,5,5,5,2.875,2.6875,-0.1875,2.8,2.8,0,1.6,4.4,2.8,2.25,2.25,0,2,3.5,1.5,1,2,2,2,2,4,4,2,4,5,5,2,2,2,2,5,2,2,2,4,4,2,2,4,2,1,1,1,1,1,1,2,2,2,3,2,2,2,2,3,2,2,2,4,4,2,4,4,2,2,1,2,2,4,3,2,2,2,3,5,3,5,5,5,3,5,5,4,4,5,2,2,2,3,2,5,4,3
6F1DDA2F,18-24 years old,Male,No,Not Applicable,No,8 University Degree,12. What A Wonderful World,2,Volunteer - 53B,IMHope,5,5,5,2.25,2.6875,0.4375,3.2,3.2,0,1.4,4.4,3,2.75,2.75,0,2.25,3.5,1.25,2,2,2,4,4,2,2,2,2,2,3,1,2,2,2,2,4,5,1,4,2,1,2,1,1,1,2,2,1,1,2,4,4,1,2,3,2,2,2,3,2,2,2,4,4,2,4,4,2,2,1,2,2,4,3,4,2,2,3,5,3,5,5,5,3,5,5,4,4,5,3,3,2,3,2,5,4,3
3EFD7B47,18-24 years old,Female,No,Not Applicable,No,8 University Degree,12. What A Wonderful World,3,Volunteer - 53A,IMHope,5,5,5,1.8125,3.5625,1.75,3,3,0,1.4,3.9,2.5,2.5,2.5,0,1.75,2.5,0.75,2,2,1,1,3,2,1,4,1,1,3,1,1,2,1,3,3,1,2,4,5,2,1,1,1,1,3,1,1,2,1,4,1,3,2,2,1,3,1,4,5,3,3,2,3,4,2,4,3,4,3,5,3,4,5,3,1,5,3,3,4,4,4,3,5,5,5,3,1,5,4,1,3,2,1,3,3,3
190F8EC4,18-24 years old,Female,No,Not Applicable,No,8 University Degree,12. What A Wonderful World,3,Volunteer - 53A,IMHope,4,4,3,1.5,4.0625,2.5625,1.8,3,1.2,1.4,4.6,3.2,2.25,2.25,0,2.75,3.25,0.5,1,1,1,1,3,2,2,3,1,2,2,1,1,1,1,1,1,2,2,3,1,2,2,2,1,1,1,1,1,2,1,2,5,1,1,4,1,3,3,5,5,5,4,2,2,5,5,5,3,4,3,5,5,2,5,1,3,3,4,4,3,5,5,5,3,5,5,5,5,5,2,5,1,1,3,3,5,2
D7D5C6A5,18-24 years old,Female,No,Not Applicable,No,8 University Degree,12. What A Wonderful World,2,Volunteer - 53B,IMHope,5,5,5,1.25,3.75,2.5,3.2,2.6,-0.6,1.5,4.2,2.7,1.25,1.25,0,2.5,3.5,1,1,1,1,1,1,1,1,4,2,1,1,1,1,1,1,1,2,1,4,4,5,2,1,2,1,2,1,1,1,1,3,2,1,1,1,1,2,4,3,3,3,3,4,4,2,5,5,5,2,3,5,4,4,3,5,2,1,4,2,4,5,4,5,5,3,4,4,4,4,4,2,1,1,1,4,3,4,3
FC53F776,18-24 years old,Male,No,Not Applicable,No,8 University Degree,12. What A Wonderful World,4,Volunteer - 36B,IMHope,4,4,3,2.1875,4.125,1.9375,2.2,2.2,0,1.6,4.3,2.7,2.75,3,0.25,1.5,3.75,2.25,2,2,1,2,1,2,1,1,3,4,2,2,2,3,2,5,2,1,3,2,3,1,2,1,1,3,1,1,2,1,3,3,3,3,2,1,1,1,3,4,4,5,3,4,4,5,3,5,3,4,5,4,5,3,5,2,2,2,3,2,3,4,2,5,5,5,5,5,4,5,4,3,3,2,4,4,4,3
D666B98E,18-24 years old,Female,No,Not Applicable,No,8 University Degree,12. What A Wonderful World,4,Volunteer - 36B,IMHope,5,5,5,2.5625,4.125,1.5625,2.8,2.2,-0.6,1.6,4.3,2.7,2.25,3,0.75,2.5,3.75,1.25,2,2,2,3,2,3,3,4,3,3,3,2,2,2,2,3,2,2,4,3,3,2,2,2,1,3,1,1,1,1,2,2,3,2,2,2,2,3,3,4,4,5,3,4,4,5,3,5,3,4,5,4,5,3,5,2,2,2,3,2,3,4,2,5,5,5,5,5,4,5,3,3,3,3,4,4,4,3
6A65EDED,18-24 years old,Female,No,Not Applicable,No,8 University Degree,12. What A Wonderful World,5,Volunteer - 36B,IMHope,4,4,4,2.5625,4.4375,1.875,4.2,3.2,-1,2.1,4.6,2.5,2.5,1.75,-0.75,3.5,3.25,-0.25,3,3,3,2,2,3,2,3,2,5,3,2,2,2,2,2,5,5,3,5,3,1,1,3,1,3,1,3,1,4,3,3,1,3,3,3,5,3,3,5,5,5,2,3,5,5,3,4,5,5,5,5,5,4,5,3,2,4,2,5,5,4,5,5,4,5,4,5,5,4,2,1,2,2,2,3,3,5
949AD13C,18-24 years old,Female,No,Not Applicable,No,8 University Degree,12. What A Wonderful World,4,Volunteer - 53B,IMHope,5,5,5,2.1875,3.375,1.1875,2.8,2,-0.8,2.4,3.4,1,2,2.5,0.5,2.5,3.25,0.75,3,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,4,3,3,2,3,2,2,2,4,2,2,2,2,3,2,2,2,2,2,2,3,3,3,3,3,2,2,4,5,5,4,4,3,3,3,3,3,4,1,1,3,2,3,5,2,4,5,3,3,3,3,4,2,3,2,3,2,4,3,2,4
5A18F9C4,18-24 years old,Female,No,Not Applicable,No,8 University Degree,12. What A Wonderful World,5,Volunteer - 36A,IMHope,5,5,5,2.75,4.25,1.5,3.2,3.2,0,2.9,4.9,2,3,3,0,3,3,0,2,2,2,4,3,2,3,2,3,3,3,3,3,3,3,3,3,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,4,5,5,3,5,5,5,5,4,3,3,5,3,5,1,4,3,4,5,5,5,5,5,5,5,5,5,3,3,3,3,1,1,5,5
A4F72BAC,18-24 years old,Male,No,Not Applicable,No,8 University Degree,12. What A Wonderful World,3,Volunteer - 53A,IMHope,5,5,5,2.1875,3.8125,1.625,3.2,3.6,0.4,2,4.6,2.6,2.5,2.5,0,2.5,3.5,1,2,2,2,2,2,3,2,4,2,2,2,2,2,2,2,2,4,4,2,4,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,4,2,2,4,3,4,5,2,5,5,3,4,2,2,5,3,5,4,5,4,2,5,2,5,5,2,4,5,5,5,5,5,5,5,2,4,2,2,1,3,5,5
553D718E,18-24 years old,Female,No,Not Applicable,No,8 University Degree,12. What A Wonderful World,3,Volunteer - 53A,IMHope,5,5,5,2.8125,3.375,0.5625,3.2,2.4,-0.8,1.7,3.7,2,1.5,1.5,0,1.5,2.75,1.25,1,3,3,3,4,4,3,4,4,3,5,2,1,1,1,3,2,3,3,3,5,2,1,5,1,3,1,1,1,1,1,1,1,2,2,1,1,3,1,3,3,4,3,3,3,3,3,4,3,3,4,4,4,3,4,2,2,3,2,3,5,3,3,4,4,4,3,4,4,3,1,1,2,2,2,3,3,3
43BA7DD9,18-24 years old,Female,No,Not Applicable,No,8 University Degree,12. What A Wonderful World,4,Volunteer - 53B,IMHope,5,5,5,1.875,3.625,1.75,2.6,3.4,0.8,1.8,3.8,2,2.25,2.25,0,2.75,3,0.25,2,2,2,2,2,1,1,1,2,2,3,2,2,2,2,2,3,4,2,2,2,1,2,2,1,2,1,2,2,2,3,2,2,3,2,2,2,3,4,3,4,4,4,3,3,4,2,4,4,4,4,4,4,3,4,3,3,4,3,4,4,4,4,4,2,4,4,4,4,4,2,2,3,2,2,3,3,4
EF54DBD1,18-24 years old,Male,No,Not Applicable,No,8 University Degree,12. What A Wonderful World,4,Volunteer - 36A,IMHope,5,5,5,2.125,3,0.875,2.6,2.8,0.2,2.9,3,0.1,1.75,1.75,0,3.25,3,-0.25,2,2,2,1,2,2,2,3,2,3,2,2,2,2,2,3,2,3,3,3,2,2,2,2,2,4,4,4,2,4,3,3,2,1,1,2,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,3,3,3,3
1A3348CB,18-24 years old,Male,No,Not Applicable,No,8 University Degree,12. What A Wonderful World,4,Volunteer - 36A,IMHope,4,4,4,2.875,3.8125,0.9375,2.6,2.6,0,1.8,3.8,2,1.75,3,1.25,3.5,1.75,-1.75,3,2,3,3,2,2,4,3,3,3,3,2,3,3,3,4,1,5,2,4,1,1,4,1,1,3,1,1,2,1,3,2,1,2,2,4,4,3,3,4,5,5,3,5,5,5,5,1,3,3,1,2,5,4,5,2,1,3,3,4,5,4,3,3,4,3,4,3,5,4,3,4,3,2,1,2,2,2
559168CC,18-24 years old,Male,No,Not Applicable,No,8 University Degree,12. What A Wonderful World,4,Volunteer - 36B,IMHope,5,5,5,1.5,3.3125,1.8125,2.6,3,0.4,1.7,3.9,2.2,1,2,1,1.75,2.75,1,1,1,1,3,1,1,1,3,1,3,2,1,1,1,1,2,1,3,3,4,2,1,4,1,1,4,1,1,1,1,2,1,1,1,1,2,1,3,1,3,3,3,4,4,3,4,4,3,3,3,3,3,3,3,4,2,4,3,3,3,4,4,4,4,3,4,4,3,4,5,2,2,2,2,2,4,2,3
48B648BA,18-24 years old,Male,No,Not Applicable,No,8 University Degree,12. What A Wonderful World,4,Volunteer - 36A,IMHope,5,5,5,1.9375,4.25,2.3125,2.4,1.8,-0.6,2,3.6,1.6,1.75,2,0.25,3,3.5,0.5,2,2,2,2,2,2,1,3,2,2,2,1,2,2,2,2,2,3,2,3,2,2,2,1,1,4,2,2,2,2,2,2,1,2,2,3,3,4,2,4,5,5,5,3,3,3,5,3,5,3,5,5,5,4,5,1,1,1,5,1,3,3,2,5,5,3,5,2,5,3,3,1,2,2,5,3,3,3
D0B49244,18-24 years old,Male,No,Not Applicable,No,8 University Degree,12. What A Wonderful World,2,Volunteer - 54A,Matchsticks at IMH,5,5,5,2.5,4.3125,1.8125,2.8,3.4,0.6,2.2,4.2,2,2,3,1,2.75,4.5,1.75,3,3,2,2,2,2,1,4,3,3,3,1,3,3,2,3,1,4,3,3,3,2,2,2,3,2,2,2,2,2,3,2,2,2,2,3,2,2,4,3,3,4,5,5,4,3,4,5,5,5,5,5,5,4,4,1,5,2,4,5,1,5,5,5,5,5,5,4,4,3,4,3,3,2,5,5,3,5
D4B94C25,18-24 years old,Male,No,Not Applicable,No,8 University Degree,12. What A Wonderful World,4,Volunteer - 54B,Matchsticks at IMH,4,4,3,2,3,1,3,3.2,0.2,1.2,3,1.8,2,2.25,0.25,3,3,0,2,2,2,5,2,3,2,5,1,1,1,1,1,1,1,2,3,5,3,3,1,1,2,1,1,1,1,1,1,1,2,3,2,2,1,5,3,3,1,3,2,3,3,3,4,3,3,3,3,3,3,3,2,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3
FE0E3A92,18-24 years old,Male,No,Not Applicable,No,8 University Degree,12. What A Wonderful World,4,Volunteer - 54A,Matchsticks at IMH,5,5,5,1.625,3.8125,2.1875,2.8,3.4,0.6,1.3,3.3,2,2.5,2.25,-0.25,2.5,4.5,2,1,1,1,1,2,2,1,2,1,4,4,1,2,1,1,1,2,4,2,4,2,1,2,2,2,1,1,1,1,1,1,4,2,2,2,2,3,3,2,3,1,4,3,5,3,3,4,5,5,4,5,5,3,5,3,3,5,2,4,3,4,4,1,5,4,3,3,4,1,4,3,2,2,2,4,5,5,4
7025EF05,18-24 years old,Female,No,Not Applicable,No,8 University Degree,12. What A Wonderful World,4,Volunteer - 54A,Matchsticks at IMH,4,4,3,1.25,1.9375,0.6875,2.6,3,0.4,1.2,2.1,0.9,1.5,2,0.5,2.5,3.25,0.75,1,1,1,2,1,1,1,1,2,2,1,2,1,1,1,1,2,3,1,3,4,1,1,1,1,1,1,2,1,1,2,3,1,1,1,3,1,3,3,2,1,2,2,3,3,3,2,2,2,1,1,1,1,1,4,3,4,1,5,2,1,4,5,2,1,2,2,1,1,2,4,2,1,1,5,3,2,3
871EDBAC,18-24 years old,Female,No,Not Applicable,No,8 University Degree,12. What A Wonderful World,2,Volunteer - 54A,Matchsticks at IMH,5,5,5,1.4375,3.6875,2.25,3.2,3,-0.2,1.8,4.2,2.4,1.5,1.5,0,2.5,3.75,1.25,1,1,1,2,2,2,2,1,1,2,3,1,1,1,1,1,4,2,3,4,3,4,1,2,1,5,1,1,1,1,1,2,2,1,1,3,2,2,3,3,4,4,3,4,4,5,3,3,4,3,4,4,4,3,4,4,2,3,2,4,4,5,4,5,4,4,4,4,4,4,2,2,1,1,3,3,4,5
083AE557,18-24 years old,Female,No,Not Applicable,No,8 University Degree,12. What A Wonderful World,3,Volunteer - 54A,Matchsticks at IMH,5,5,5,2.5625,3.75,1.1875,3.4,2.6,-0.8,2.3,4.2,1.9,2,3,1,2.75,2,-0.75,2,2,2,2,3,3,2,3,3,3,3,3,3,2,2,3,4,4,3,4,2,2,2,2,3,3,2,2,2,2,3,2,2,2,2,2,3,3,3,3,4,4,3,4,4,5,4,5,2,2,4,3,4,4,5,3,2,1,3,4,4,4,4,5,4,5,4,4,4,4,3,3,3,3,1,3,2,2
7C749CBB,18-24 years old,Female,No,Not Applicable,No,8 University Degree,12. What A Wonderful World,3,Volunteer - 54B,Matchsticks at IMH,5,5,5,2.375,3.0625,0.6875,2.6,2.4,-0.2,2,4.5,2.5,2.5,2.5,0,2.25,4.25,2,2,1,1,2,2,2,2,1,4,5,4,2,2,2,2,4,2,4,2,4,1,1,2,1,1,4,2,2,2,2,3,4,2,2,2,2,1,2,4,3,4,3,4,3,2,4,3,3,4,1,4,3,4,1,3,2,3,3,2,2,4,4,5,5,5,5,4,4,4,5,4,2,2,2,4,5,4,4
8C89CD11,18-24 years old,Female,No,Not Applicable,No,8 University Degree,12. What A Wonderful World,3,Volunteer - 54B,Matchsticks at IMH,5,5,5,3,4.25,1.25,3,2.6,-0.4,3,4.3,1.3,3,4,1,3,2.5,-0.5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,4,5,4,4,5,5,3,5,4,4,4,4,4,3,5,1,3,2,3,4,3,4,4,5,4,5,5,4,5,4,5,3,4,4,1,3,3,3
89845EB8,18-24 years old,Female,No,Not Applicable,No,8 University Degree,12. What A Wonderful World,5,Volunteer - 54A,Matchsticks at IMH,5,5,5,2.1875,4.4375,2.25,2.6,2.8,0.2,1.6,4.8,3.2,2,1.75,-0.25,3.25,3.75,0.5,2,2,2,2,1,3,1,1,3,3,3,2,2,2,2,4,1,4,2,4,2,2,1,1,1,3,1,1,2,2,2,2,2,2,2,5,4,1,3,5,5,5,3,5,4,5,2,5,3,5,5,5,5,4,5,1,2,4,2,5,5,4,4,5,5,5,5,5,5,5,2,1,2,2,4,3,3,5
050ABD6C,18-24 years old,Female,No,Not Applicable,No,8 University Degree,12. What A Wonderful World,4,Volunteer - 54A,Matchsticks at IMH,5,5,5,1.4375,3.8125,2.375,2.6,2.8,0.2,1.9,4.7,2.8,1,2.5,1.5,1,3.5,2.5,1,1,1,1,1,2,1,4,2,2,2,1,1,1,1,1,1,4,2,5,1,1,2,1,1,4,2,2,2,2,2,1,1,1,1,1,1,1,1,3,4,3,4,4,4,4,5,4,1,1,5,5,5,5,4,1,2,5,1,5,5,5,5,5,5,5,5,5,5,2,4,2,2,2,3,5,5,1
A9BD19C8,18-24 years old,Female,No,Not Applicable,No,8 University Degree,12. What A Wonderful World,2,Volunteer - 54A,Matchsticks at IMH,4,4,3,2.125,3.875,1.75,3,3.6,0.6,2.5,4.2,1.7,3.5,3.5,0,2.75,3.25,0.5,2,2,2,2,3,3,3,1,2,2,2,2,2,2,2,2,3,4,2,4,2,4,3,1,1,4,4,2,2,2,2,4,2,4,4,4,2,2,3,5,5,4,4,4,4,4,2,4,2,4,4,4,3,4,5,3,4,2,4,5,5,3,2,4,3,5,5,5,5,5,5,2,4,3,4,4,2,3
E81E0481,18-24 years old,Male,No,Not Applicable,No,8 University Degree,12. What A Wonderful World,2,Volunteer - 54B,Matchsticks at IMH,5,5,5,2.1875,3.6875,1.5,2.8,2.6,-0.2,2.2,4.4,2.2,2,2.75,0.75,2.75,3,0.25,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,4,2,4,2,2,2,2,1,2,3,2,2,2,4,2,2,2,2,5,2,1,3,4,5,5,4,4,3,5,2,2,4,2,4,4,4,2,5,3,1,5,2,2,5,5,3,4,3,5,5,5,4,5,4,3,2,2,4,4,2,2
1C25184E,18-24 years old,Female,No,Not Applicable,No,7 Polytechnic,12. What A Wonderful World,5,Volunteer - 45A,NYP Nursing Students,5,5,5,2.8125,3.8125,1,3,4.2,1.2,2.8,5,2.2,3,2.5,-0.5,3,4,1,2,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,4,3,3,4,2,3,1,3,3,3,3,3,3,3,2,3,4,3,3,3,3,5,4,5,5,4,3,5,1,5,2,4,2,5,5,2,4,3,5,5,3,5,5,5,5,5,5,5,5,5,5,5,3,3,2,2,5,5,5,1
F1E7C794,18-24 years old,Male,No,Not Applicable,No,7 Polytechnic,12. What A Wonderful World,4,Volunteer - 45A,NYP Nursing Students,5,5,5,2.375,3.8125,1.4375,2.4,2.8,0.4,1.6,3.8,2.2,2,2.25,0.25,1.75,2.5,0.75,2,3,3,1,2,3,1,4,3,1,3,1,3,3,2,3,2,2,1,4,3,1,2,1,1,1,1,2,2,2,3,2,2,3,1,2,1,3,1,4,3,4,3,3,4,4,2,4,4,4,5,4,4,4,5,1,3,3,3,4,4,4,4,5,4,4,3,3,4,3,3,2,3,1,3,2,3,2
1FB5E94D,18-24 years old,Female,No,Not Applicable,No,7 Polytechnic,12. What A Wonderful World,5,Volunteer - 45A,NYP Nursing Students,4,4,3,3.125,3.875,0.75,2.8,3.2,0.4,2.3,2.9,0.6,3,3.75,0.75,3,3.5,0.5,2,2,4,3,3,3,2,1,4,4,4,4,3,3,4,4,2,4,2,3,3,1,2,2,2,3,3,3,2,2,3,4,3,2,3,3,2,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,2,3,3,2,4,3,3,3,3,3,2,4,4,3,4,4,3,3,4
BCF87ABF,18-24 years old,Male,No,Not Applicable,No,7 Polytechnic,12. What A Wonderful World,5,Volunteer - 45A,NYP Nursing Students,5,5,5,2.0625,4.25,2.1875,3.2,2.4,-0.8,1.9,4.3,2.4,1.75,2.5,0.75,1.5,3.25,1.75,2,2,2,2,2,2,1,4,2,2,2,2,2,2,2,2,2,4,2,4,4,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,1,2,2,4,5,5,5,3,4,5,3,5,3,5,4,4,5,3,5,1,3,3,2,3,5,1,4,3,5,5,5,5,5,5,4,2,2,2,1,5,5,2
